0|0
1|0
2|20
3|10
4|100
5|200
6|50
7|75
8|100
9|50
10|50
11|20
12|10
13|15
14|20
15|5000
16|20
17|20
18|1
19|1
20|1
21|2
22|3
23|1
24|150.0
25|15.0
26|1
27|18.0
28|8.0
29|1
30|1.0
31|0.1
32|1
33|12.0
34|7.0
35|1
36|0.5
37|0.06
38|8.0
39|50.0
40|4.0
41|1
42|100.0
43|1
44|190.0
45|1
46|7.0
47|1
48|150.0
49|1
50|140.0
51|1
52|11.0
53|1
54|200.0
55|1
56|90.0
57|1
58|18.0
59|1
60|8.0
61|4.0
62|1
63|0.9
64|0.1
65|1
66|100.0
67|5.0
68|1
69|12.0
70|6.0
71|1
72|1.3
73|0.3
74|1
75|150.0
76|10.0
77|1
78|18.0
79|9.0
80|1
81|2.0
82|0.6
83|1
84|200.0
85|13.0
86|1
87|150.0
88|15.0
89|1
90|370.0
91|15.0
